sampno,perno,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner
4142,2,,2,4,-1,4,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4146,1,,1,8,-1,6,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4146,2,,2,8,-1,6,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4147,1,,1,6,-1,7,1,0,1,1,1,-1,33,300,5,2,4,-1,-1,0
4147,2,,2,6,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4150,1,,2,6,-1,7,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,1
4150,2,,2,6,-1,7,1,0,1,1,1,-1,26,262,5,2,4,-1,-1,1
4151,1,,2,6,-1,7,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4155,1,,2,6,-1,4,1,0,1,1,1,-1,1,10,5,2,4,-1,-1,0
4156,1,,2,6,-1,8,1,0,2,1,1,-1,18,120,3,2,4,-1,-1,0
4156,2,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4158,1,,1,4,-1,2,1,0,1,1,1,-1,40,40,5,3,4,-1,-1,0
4158,2,,2,4,-1,3,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4159,1,,2,6,-1,7,1,0,1,1,1,-1,4,40,5,2,4,-1,-1,0
4159,2,,1,6,-1,7,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4159,3,,1,6,-1,4,1,0,2,1,1,-1,15,90,3,2,1,1,15,0
4160,1,,2,2,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4160,2,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4161,1,,1,7,mixed,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4161,2,,1,7,mixed,3,1,0,1,1,1,-1,4,0,5,2,4,-1,-1,0
4162,1,,2,3,-1,4,1,2,1,1,2,-1,32,310,5,3,4,-1,-1,0
4162,2,,2,3,-1,4,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4167,1,,2,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,0
4168,1,,1,6,-1,4,1,0,2,1,1,-1,15,120,4,2,4,-1,-1,0
4169,1,,2,6,-1,4,1,0,1,1,1,-1,12,125,5,2,4,-1,-1,0
4170,1,,1,6,-1,6,1,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4171,1,,2,2,-1,4,2,4,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4171,2,,1,6,-1,8,1,8,1,1,1,-1,50,400,4,2,4,-1,-1,0
4177,1,,1,2,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4177,2,,2,2,-1,6,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4178,1,,2,6,-1,7,2,0,1,1,1,-1,1,10,3,1,4,-1,-1,0
4179,1,,1,4,-1,4,1,0,1,1,1,-1,3,30,5,2,4,-1,-1,0
4179,2,,2,4,-1,4,1,0,1,1,1,-1,15,300,5,2,3,-1,-1,0
4180,1,,1,8,-1,2,1,0,2,1,1,-1,30,90,3,2,4,-1,-1,0
4180,2,,2,8,-1,4,1,0,1,1,1,-1,40,200,5,2,4,-1,-1,0
4180,3,,2,8,-1,2,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4181,1,,2,2,-1,6,1,0,1,1,1,-1,2,20,5,2,4,-1,-1,0
4181,2,,2,2,-1,3,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0
4181,3,,1,2,-1,3,1,0,1,1,1,-1,4,40,5,2,4,-1,-1,0
4181,4,,2,2,-1,3,3,0,1,1,2,-1,2,20,5,2,4,-1,-1,0
4182,1,,1,6,-1,3,1,0,1,1,1,-1,4,20,5,2,4,-1,-1,0
4182,2,,2,6,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4184,1,,2,6,-1,7,1,0,1,1,1,-1,3,30,5,2,4,-1,-1,0
4184,2,,1,4,-1,6,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0
4184,3,,1,6,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4185,1,,2,6,-1,6,1,5,1,1,1,-1,5,65,5,2,4,-1,-1,0
4187,1,,2,6,-1,8,1,0,2,1,1,-1,47,200,2,2,3,-1,-1,0
4187,2,,1,6,-1,6,1,0,1,1,1,-1,15,150,5,2,4,-1,-1,0
4188,1,,1,2,-1,6,2,3,1,1,4,-1,24,24,4,1,4,-1,-1,0
4188,2,,2,2,-1,6,2,0,1,1,4,-1,40,40,4,3,4,-1,-1,0
4189,1,,1,2,-1,6,1,0,5,1,1,-1,10,60,6,2,4,-1,-1,0
4189,2,,2,2,-1,6,1,0,5,1,1,-1,10,60,6,2,4,-1,-1,0
4189,3,,2,2,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,5,0
4191,1,,2,2,-1,8,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,1
4191,2,,1,2,-1,6,1,25,4,-1,-1,-1,-1,-1,-1,-1,2,1,25,1
4191,3,,2,2,-1,5,1,0,2,1,1,-1,25,200,4,2,4,-1,-1,1
4191,4,,1,2,-1,4,4,20,2,1,4,-1,3,0,3,3,1,4,3,1
4192,1,,2,2,-1,6,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4192,2,,1,4,-1,6,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4194,1,,2,6,-1,6,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4196,1,,1,6,-1,6,1,0,2,1,1,-1,30,60,2,3,4,-1,-1,0
4196,2,,2,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4198,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4199,1,,2,4,-1,6,1,0,2,1,1,-1,20,60,2,2,4,-1,-1,0
